Quote Datetime,Strike,exp,Trade Size,Trade Price,XSP
2024-01-17 09:37:49.545,P480.0  ,2024-01-17,2,7.01,473.0
2024-01-17 10:16:15.117,P480.0  ,2024-01-17,1,6.43,473.58
2024-01-17 10:42:59.538,P480.0  ,2024-01-17,1,6.23,473.84
2024-01-17 11:32:51.869,P480.0  ,2024-01-17,1,6.0,474.14
2024-01-17 11:46:12.063,P480.0  ,2024-01-17,1,5.65,474.42
2024-01-17 11:46:12.063,P480.0  ,2024-01-17,1,5.65,474.42
2024-01-17 12:24:37.240,P480.0  ,2024-01-17,3,6.86,473.14
2024-01-17 12:53:08.621,P480.0  ,2024-01-17,1,6.65,473.31
2024-01-17 14:44:35.117,P480.0  ,2024-01-17,3,6.67,473.32
2024-01-17 15:55:19.349,P480.0  ,2024-01-17,1,6.01,473.96
Quote Datetime,Strike,exp,Trade Size,Trade Price,XSP
2024-01-17 09:46:28.624,P479.0  ,2024-01-22,1,6.42,472.79
2024-01-17 11:51:20.552,P479.0  ,2024-01-22,1,5.5,473.84
Quote Datetime,Strike,exp,Trade Size,Trade Price,XSP
2024-01-17 10:09:47.222,P470.0  ,2024-01-22,2,1.16,473.51
2024-01-17 11:49:00.159,P470.0  ,2024-01-22,1,0.89,474.17
2024-01-17 13:45:06.451,P470.0  ,2024-01-22,1,1.55,471.9
2024-01-17 13:53:15.661,P470.0  ,2024-01-22,1,1.59,471.81
2024-01-17 14:24:05.750,P470.0  ,2024-01-22,1,1.2,472.85
2024-01-17 15:22:35.669,P470.0  ,2024-01-22,1,1.29,472.44
2024-01-17 15:36:37.698,P470.0  ,2024-01-22,1,1.04,473.07
2024-01-17 15:59:08.548,P470.0  ,2024-01-22,1,0.79,474.1
